发证日期,房间号,建筑面积(m2),预售登记备案管理部门,预售资金监管银行,开发企业,专用账户名称,专用账户账号,建设工程规划许可证编号,用　　途,项目名称,准许销售面积,预售许可证编号,套内面积(m2),坐落位置,土地用途和使用年限,批准预售部位,楼号
2016年8月19日,-106,9.4000,昌平区建设委员会,工商银行,北京天梓翔房地产开发有限公司,北京天梓翔房地产开发有限公司华龙苑北里,0200300729100012511,2012规(昌)建字0073号,戊类储藏间,华龙苑北里,6020.6000,京房售证字(2016)170号,7.7000,昌平区东小口镇霍营华龙苑小区二期A区,住宅:70年,8#住宅楼,S-24地块24#商品住宅楼   楼盘表
,112,,,,,,,,,,,,,,,,
,111,,,,,,,,,,,,,,,,3#住宅楼   楼盘表
,2单元-102,,,,,,,,,,,,,,,,
,6单元-202,,,,,,,,,,,,,,,,
,02,,,,,,,,,,,,,,,,
,-3101,40.0400,,,,,,,车位,,,,12.7200,,,,
,-3100,80.0700,,,,,,,车位,,,,25.4400,,,,
,2单元-203,,,,,,,,,,,,,,,,
,124,,,,,,,,,,,,,,,,
,2单元-102,,,,,,,,,,,,,,,,
,-1100,32.2700,,,,,,,车位,,,,12.7200,,,,
,-1099,32.2700,,,,,,,车位,,,,12.7200,,,,
,-1098,32.2700,,,,,,,车位,,,,12.7200,,,,
,3单元-602,,,,,,,,,,,,,,,,
,102,,,,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,
,5单元-202,,,,,,,,,,,,,,,,
,-345,24.7900,,,,,,,仓储用房,,,,11.8700,,,,
,-344,16.2100,,,,,,,仓储用房,,,,7.7600,,,,
,-343,17.4200,,,,,,,仓储用房,,,,8.3400,,,,
,-342,19.5700,,,,,,,仓储用房,,,,9.3700,,,,
,-341,18.1300,,,,,,,仓储用房,,,,8.6800,,,,
,-340,18.1300,,,,,,,仓储用房,,,,8.6800,,,,
,-339,16.2100,,,,,,,仓储用房,,,,7.7600,,,,
,-338,19.5700,,,,,,,仓储用房,,,,9.3700,,,,
,-337,17.4200,,,,,,,仓储用房,,,,8.3400,,,,
,-336,12.2800,,,,,,,仓储用房,,,,5.8800,,,,
,-335,26.6500,,,,,,,仓储用房,,,,12.7600,,,,
,-334,16.2100,,,,,,,仓储用房,,,,7.7600,,,,
,-333,18.1300,,,,,,,仓储用房,,,,8.6800,,,,
,-332,18.1300,,,,,,,仓储用房,,,,8.6800,,,,
,-331,16.2100,,,,,,,仓储用房,,,,7.7600,,,,
,-330,19.5700,,,,,,,仓储用房,,,,9.3700,,,,
,-329,17.4200,,,,,,,仓储用房,,,,8.3400,,,,
,-328,24.7100,,,,,,,仓储用房,,,,11.8300,,,,
,-327,14.1200,,,,,,,仓储用房,,,,6.7600,,,,
,-326,19.0100,,,,,,,仓储用房,,,,9.1000,,,,
,-325,19.1700,,,,,,,仓储用房,,,,9.1800,,,,
,-324,18.0500,,,,,,,仓储用房,,,,8.6400,,,,
,-323,24.5600,,,,,,,仓储用房,,,,11.7600,,,,
,-322,21.6800,,,,,,,仓储用房,,,,10.3800,,,,
,-321,21.3200,,,,,,,仓储用房,,,,10.2100,,,,
,-320,20.8000,,,,,,,仓储用房,,,,9.9600,,,,
,-319,20.9100,,,,,,,仓储用房,,,,10.0100,,,,
,-318,31.2000,,,,,,,仓储用房,,,,14.9400,,,,
,-317,31.2000,,,,,,,仓储用房,,,,14.9400,,,,
,-316,20.9100,,,,,,,仓储用房,,,,10.0100,,,,
,-315,20.7800,,,,,,,仓储用房,,,,9.9500,,,,
,-314,26.3200,,,,,,,仓储用房,,,,12.6000,,,,
,-313,20.7800,,,,,,,仓储用房,,,,9.9500,,,,
,-312,20.9100,,,,,,,仓储用房,,,,10.0100,,,,
,-311,31.2000,,,,,,,仓储用房,,,,14.9400,,,,
,-310,31.2000,,,,,,,仓储用房,,,,14.9400,,,,
,-309,20.9100,,,,,,,仓储用房,,,,10.0100,,,,
,-308,20.7800,,,,,,,仓储用房,,,,9.9500,,,,
,-307,20.2000,,,,,,,仓储用房,,,,9.6700,,,,
,-306,22.7200,,,,,,,仓储用房,,,,10.8800,,,,
,-305,15.7900,,,,,,,仓储用房,,,,7.5600,,,,
,-304,12.9700,,,,,,,仓储用房,,,,6.2100,,,,
,-303,12.4100,,,,,,,仓储用房,,,,5.9400,,,,
,-302,19.0700,,,,,,,仓储用房,,,,9.1300,,,,
,-301,24.1000,,,,,,,仓储用房,,,,11.5400,,,,
,-111,21.2200,,,,,,,仓储用房,,,,8.9800,,,,
,-110,20.8000,,,,,,,仓储用房,,,,8.8000,,,,
,-109,20.8000,,,,,,,仓储用房,,,,8.8000,,,,
,-108,21.2200,,,,,,,仓储用房,,,,8.9800,,,,
,-107,42.5600,,,,,,,仓储用房,,,,18.0100,,,,
,-106,21.2200,,,,,,,仓储用房,,,,8.9800,,,,
,-105,20.8000,,,,,,,仓储用房,,,,8.8000,,,,
,-104,20.8000,,,,,,,仓储用房,,,,8.8000,,,,
,-103,21.2200,,,,,,,仓储用房,,,,8.9800,,,,
,-102,61.8000,,,,,,,仓储用房,,,,26.1500,,,,
,-101,61.8000,,,,,,,仓储用房,,,,26.1500,,,,
,2单元-2301,,,,,,,,,,,,,,,,
,-217,27.5300,,,,,,,库房,,,,12.0000,,,,
,-216,43.5700,,,
